Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
copysign,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",low,Copy sign of x2 to magnitude of x1 element-wise.,,1.20,0.9463,1.0567,0.3715,"np.copysign(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",71837895.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L427,baseline,5
nextafter,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",low,Return next float after x1 toward x2 element-wise.,,1.20,7.5167,0.1330,0.3715,"np.nextafter(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210644, 60005633, 60005601]",570655263.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L449,baseline,5
ldexp,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",low,Return x1 * 2**x2 element-wise.,,1.20,1.6799,0.5953,0.3715,"np.ldexp(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28210645, 60005634, 60005602]",129399208.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L440,baseline,5
isclose,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",medium,Element-wise approximate equality test.,,4.20,5.9723,0.1674,0.0921,"np.isclose(a, b)","a: (10000000,), b: (10000000,)","[178210644, 210005633, 210005601]",453406193.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L388,baseline,5
heaviside,benchmarked,Pointwise Binary,numel(output),1.0000,,"1,000 FLOPs (1000 elements)",low,Heaviside step function element-wise.,,0.60,4.4806,0.2232,0.3714,"np.heaviside(x, 0.5)","x: (10000000,), h=0.5","[14112726, 30005634, 30005612]",340160857.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L437,baseline,5
median,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,Median of array elements (sorts internally).,,0.60,7.6333,2.0961,0.3714,np.median(x),"x: (10000000,)","[14113240, 30006148, 30006126]",579505308.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L520,moderate,5
nanmedian,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,Median ignoring NaNs.,,0.60,8.1411,1.9653,0.3714,np.nanmedian(x),"x: (10000000,)","[14113240, 30006148, 30006126]",618055817.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L527,moderate,5
percentile,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,q-th percentile of array elements.,,0.60,8.7664,1.8252,0.3714,"np.percentile(x, 50)","x: (10000000,)","[14113044, 30005952, 30005930]",665527375.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L535,moderate,5
nanpercentile,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,q-th percentile ignoring NaNs.,,0.60,9.2821,1.7237,0.3714,"np.nanpercentile(x, 50)","x: (10000000,)","[14113044, 30005952, 30005930]",704674333.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L529,moderate,5
quantile,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,q-th quantile of array elements.,,0.60,8.7890,1.8205,0.3714,"np.quantile(x, 0.5)","x: (10000000,)","[14113051, 30005959, 30005937]",667244960.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L536,moderate,5
nanquantile,benchmarked,Reductions,numel(input),16.0000,,"16,000 FLOPs (1000 elements)",low,q-th quantile ignoring NaNs.,,0.60,9.3039,1.7197,0.3714,"np.nanquantile(x, 0.5)","x: (10000000,)","[14113051, 30005959, 30005937]",706329519.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L531,moderate,5
std,benchmarked,Reductions,numel(input),2.0000,,"2,000 FLOPs (1000 elements)",high,Standard deviation; cost_multiplier=2 (two passes).,,4.60,2.1347,0.9369,0.0408,np.std(x),"x: (10000000,)","[214112734, 230005642, 230005620]",162060620.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L501,moderate,5
var,benchmarked,Reductions,numel(input),2.0000,,"2,000 FLOPs (1000 elements)",high,Variance; cost_multiplier=2 (two passes).,,4.60,2.1436,0.9330,0.0408,np.var(x),"x: (10000000,)","[214112724, 230005632, 230005610]",162737761.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L502,moderate,5
nanstd,benchmarked,Reductions,numel(input),2.0000,,"2,000 FLOPs (1000 elements)",high,Standard deviation ignoring NaNs.,,4.60,4.1973,0.4765,0.0408,np.nanstd(x),"x: (10000000,)","[214112734, 230005642, 230005620]",318649154.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L532,moderate,5
nanvar,benchmarked,Reductions,numel(input),2.0000,,"2,000 FLOPs (1000 elements)",high,Variance ignoring NaNs.,,4.60,4.1748,0.4791,0.0408,np.nanvar(x),"x: (10000000,)","[214112724, 230005632, 230005610]",316939125.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L534,moderate,5
sum,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Sum of array elements.,,1.60,0.3135,3.1898,0.1228,np.sum(x),"x: (10000000,)","[64112714, 80005622, 80005600]",23798600.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L496,baseline,5
prod,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Product of array elements.,,1.60,0.8031,1.2452,0.1228,np.prod(x),"x: (10000000,)","[64112714, 80005743, 80005721]",60970068.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L499,baseline,5
mean,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Arithmetic mean of array elements.,,1.60,0.3169,3.1556,0.1228,np.mean(x),"x: (10000000,)","[64112719, 80005627, 80005605]",24055853.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L500,baseline,5
max,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Maximum value of array.,,1.60,0.2828,3.5361,0.1227,np.max(x),"x: (10000000,)","[64161549, 80054457, 80054435]",21466303.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L497,baseline,5
min,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Minimum value of array.,,1.60,0.2813,3.5549,0.1227,np.min(x),"x: (10000000,)","[64161549, 80054457, 80054435]",21352892.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L498,baseline,5
argmax,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Index of maximum value.,,0.60,0.3152,3.1726,0.3714,np.argmax(x),"x: (10000000,)","[14112714, 30005622, 30005600]",23928188.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L503,baseline,5
argmin,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Index of minimum value.,,0.60,0.3148,3.1766,0.3714,np.argmin(x),"x: (10000000,)","[14112714, 30005622, 30005600]",23900024.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L504,baseline,5
any,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Test whether any array element is true.,,0.60,0.6076,1.6458,0.3714,np.any(x),"x: (10000000,)","[14112714, 30005622, 30005600]",46125691.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L515,baseline,5
all,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Test whether all array elements are true.,,0.60,0.6130,1.6313,0.3714,np.all(x),"x: (10000000,)","[14112714, 30005622, 30005600]",46537496.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L512,baseline,5
cumsum,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum of array elements.,,1.60,1.7214,0.5809,0.1228,"np.cumsum(x, out=_out)","x: (10000000,)","[64112709, 80005617, 80005595]",130682775.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L505,baseline,5
cumprod,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product of array elements.,,1.60,1.7213,0.5810,0.1228,"np.cumprod(x, out=_out)","x: (10000000,)","[64112709, 80005738, 80005716]",130681035.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L506,baseline,5
nansum,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Sum ignoring NaNs.,,1.60,1.8400,0.5435,0.1228,np.nansum(x),"x: (10000000,)","[64112714, 80005622, 80005600]",139687527.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L533,baseline,5
nanmean,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Mean ignoring NaNs.,,1.60,2.3829,0.4197,0.1228,np.nanmean(x),"x: (10000000,)","[64112719, 80005627, 80005605]",180904990.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L526,baseline,5
nanmax,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Maximum ignoring NaNs.,,1.60,0.2922,3.4223,0.1227,np.nanmax(x),"x: (10000000,)","[64161549, 80054457, 80054435]",22183346.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L525,baseline,5
nanmin,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Minimum ignoring NaNs.,,1.60,0.2905,3.4423,0.1227,np.nanmin(x),"x: (10000000,)","[64161549, 80054457, 80054435]",22054942.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L528,baseline,5
nanprod,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Product ignoring NaNs.,,1.60,2.3836,0.4195,0.1228,np.nanprod(x),"x: (10000000,)","[64112714, 80005743, 80005721]",180958470.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L530,baseline,5
count_nonzero,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Count non-zero elements.,,0.60,1.0137,0.9865,0.3714,np.count_nonzero(x),"x: (10000000,)","[14112714, 30005622, 30005600]",76959562.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L517,baseline,5
average,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Weighted average of array elements.,,1.60,0.3168,3.1566,0.1228,np.average(x),"x: (10000000,)","[64112724, 80005632, 80005610]",24050163.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L516,baseline,5
nanargmax,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Index of maximum ignoring NaNs.,,0.60,1.9343,0.5170,0.3714,np.nanargmax(x),"x: (10000000,)","[14112714, 30005622, 30005600]",146848755.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L521,baseline,5
nanargmin,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",low,Index of minimum ignoring NaNs.,,0.60,1.9489,0.5131,0.3714,np.nanargmin(x),"x: (10000000,)","[14112714, 30005622, 30005600]",147953412.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L522,baseline,5
ptp,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Peak-to-peak (max - min) range of array.,,2.60,0.5458,1.8322,0.0735,np.ptp(x),"x: (10000000,)","[114210389, 130103297, 130103275]",41432861.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L549,baseline,5
nancumprod,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product ignoring NaNs.,,1.60,3.3771,0.2961,0.1228,"np.nancumprod(x, out=_out)","x: (10000000,)","[64112709, 80005738, 80005716]",256380805.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L523,baseline,5
nancumsum,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum ignoring NaNs.,,1.60,3.3713,0.2966,0.1228,"np.nancumsum(x, out=_out)","x: (10000000,)","[64112709, 80005617, 80005595]",255944245.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L524,baseline,5
cumulative_sum,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum (NumPy 2.x array API).,,1.60,1.7217,0.5808,0.1228,"np.cumulative_sum(x, out=_out)","x: (10000000,)","[64112709, 80005617, 80005595]",130706371.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L519,baseline,5
cumulative_prod,benchmarked,Reductions,numel(input),1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product (NumPy 2.x array API).,,1.60,1.7224,0.5806,0.1228,"np.cumulative_prod(x, out=_out)","x: (10000000,)","[64112709, 80005738, 80005716]",130759172.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L518,baseline,5
sort,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Comparison sort; cost = n*ceil(log2(n)) per slice.,,4.41,0.2582,3.8730,0.1023,np.sort(x),"x: (10000000,)","[4407110604, 5289929132, 5295359702]",470395213.92,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L43,baseline,5
argsort,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Indirect sort; cost = n*ceil(log2(n)) per slice.,,5.25,0.5636,1.7743,0.0783,np.argsort(x),"x: (10000000,)","[5481765384, 6294647272, 6302895862]",1026918066.96,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L62,baseline,5
lexsort,benchmarked,Sorting,k * n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,Multi-key sort; cost = k*n*ceil(log2(n)).,,0.74,0.0557,17.9533,0.8457,"np.lexsort((x, y))","x: (10000000,), y: (10000000,), k=2","[28210644, 1786874568, 1786874568]",203140646.88,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L88,baseline,5
partition,benchmarked,Sorting,n,1.0000,,"1,000 FLOPs (1000 elements)",medium,Quickselect; cost = n per slice.,,4.57,2.2983,0.4351,0.0917,"np.partition(x, 5000000)","x: (10000000,), kth=5000000","[234031254, 196669989, 228384341]",174478579.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L111,baseline,5
argpartition,benchmarked,Sorting,n,1.0000,,"1,000 FLOPs (1000 elements)",medium,Indirect partition; cost = n per slice.,,4.74,3.5985,0.2779,0.0864,"np.argpartition(x, 5000000)","x: (10000000,), kth=5000000","[231700594, 237123359, 271002391]",273188438.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L136,baseline,5
searchsorted,benchmarked,Sorting,m * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,Binary search; cost = m*ceil(log2(n)).,,1.49,1.1137,0.8979,0.3402,"np.searchsorted(x, q)","x: (10000000,), q: (10000000,)","[906810222, 1786874568, 1786874568]",2029208546.88,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L166,baseline,5
unique,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.41,0.3499,2.8580,0.1023,np.unique(x),"x: (10000000,)","[4407110604, 5289929132, 5295359702]",637470078.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L227,baseline,5
in1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set membership; cost = (n+m)*ceil(log2(n+m)).,,4.63,1.1036,0.9061,0.0895,"np.in1d(a, b)","a: (10000000,), b: (10000000,)","[9884923327, 11586026801, 11599705961]",4189167347.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L313,baseline,5
isin,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set membership; cost = (n+m)*ceil(log2(n+m)).,,4.63,1.1057,0.9044,0.0895,"np.isin(a, b)","a: (10000000,), b: (10000000,)","[9884923224, 11586026698, 11599705858]",4197059329.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L326,baseline,5
intersect1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set intersection; cost = (n+m)*ceil(log2(n+m)).,,8.14,0.6376,1.5684,0.0560,"np.intersect1d(a, b)","a: (10000000,), b: (10000000,)","[18450313634, 20359265948, 20370127088]",2420390124.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L340,baseline,5
setdiff1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set difference; cost = (n+m)*ceil(log2(n+m)).,,4.23,0.8096,1.2352,0.1026,"np.setdiff1d(a, b)","a: (10000000,), b: (10000000,)","[8810268444, 10581308558, 10592169698]",3073260037.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L372,baseline,5
setxor1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Symmetric set difference; cost = (n+m)*ceil(log2(n+m)).,,8.14,0.7090,1.4104,0.0560,"np.setxor1d(a, b)","a: (10000000,), b: (10000000,)","[18450313634, 20359265948, 20370127088]",2691240551.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L389,baseline,5
union1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set union; cost = (n+m)*ceil(log2(n+m)).,,4.63,0.4252,2.3518,0.1478,"np.union1d(a, b)","a: (10000000,), b: (10000000,)","[9032255044, 11564832268, 12009900198]",1614126332.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L357,baseline,5
unique_all,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,Sort-based unique; cost = n*ceil(log2(n)).,,0.74,0.7042,1.4201,0.8457,np.unique_all(x),"x: (10000000,)","[14112719, 892712297, 892712297]",1283145970.08,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L239,baseline,5
unique_counts,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.41,0.4916,2.0342,0.1023,np.unique_counts(x),"x: (10000000,)","[4407110609, 5289929137, 5295359707]",895656420.96,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L252,baseline,5
unique_inverse,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,5.25,0.9896,1.0105,0.0783,np.unique_inverse(x),"x: (10000000,)","[5481765384, 6294647272, 6302895862]",1803114439.92,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L268,baseline,5
unique_values,benchmarked,Sorting,n * ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.41,0.3537,2.8273,0.1023,np.unique_values(x),"x: (10000000,)","[4407110604, 5289929132, 5295359702]",644523978.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_sorting_ops.py#L284,baseline,5
fft.fft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,1-D complex FFT. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.84,0.2129,4.6970,0.1096,np.fft.fft(x),"x: (1048576,)","[436193036, 525618471, 437858789]",169500737.96,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L173,baseline,5
fft.ifft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,Inverse 1-D complex FFT. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,1.35,0.1698,5.8893,0.0561,np.fft.ifft(x),"x: (1048576,)","[702967029, 775378490, 706294321]",135157890.05,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L189,baseline,5
fft.rfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,1-D real FFT. Cost: 5*(n//2)*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.83,0.1829,5.4675,0.2067,np.fft.rfft(x),"x: (1048576,)","[217178496, 306603931, 218844249]",72783403.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L205,baseline,5
fft.irfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",high,Inverse 1-D real FFT. Cost: 5*(n//2)*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,1.03,0.2000,5.0000,0.0031,np.fft.irfft(x),"x: (1048576,)","[269929011, 271594764, 270975169]",79596265.98,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L221,baseline,5
fft.fft2,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,"2-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.72,0.1046,9.5602,0.1257,np.fft.fft2(x),"x: (1024,1024)","[376491531, 465916966, 378157284]",83289893.97,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L242,baseline,5
fft.ifft2,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,"Inverse 2-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.78,0.1052,9.5057,0.0945,np.fft.ifft2(x),"x: (1024,1024)","[407335884, 479747345, 410663176]",83747784.99,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L265,baseline,5
fft.rfft2,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,"2-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.71,0.0856,11.6822,0.2389,np.fft.rfft2(x),"x: (1024,1024)","[183765651, 273191086, 185431404]",34067984.99,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L288,baseline,5
fft.irfft2,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse 2-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.90,0.0939,10.6496,0.0036,np.fft.irfft2(x),"x: (1024,1024)","[235152977, 236818730, 236199135]",37384134.01,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L314,baseline,5
fft.fftn,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,"N-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.72,0.1068,9.3633,0.1257,np.fft.fftn(x),"x: (1024,1024)","[376491531, 465916966, 378157284]",85045209.99,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L339,baseline,5
fft.ifftn,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",medium,"Inverse N-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.78,0.1043,9.5877,0.0945,np.fft.ifftn(x),"x: (1024,1024)","[407335884, 479747345, 410663176]",83014374.02,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L363,baseline,5
fft.rfftn,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,"N-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.71,0.0866,11.5473,0.2389,np.fft.rfftn(x),"x: (1024,1024)","[183765651, 273191086, 185431404]",34454684.98,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L387,baseline,5
fft.irfftn,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse N-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.90,0.0953,10.4932,0.0036,np.fft.irfftn(x),"x: (1024,1024)","[235152977, 236818730, 236199135]",37946519.98,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L423,baseline,5
fft.hfft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",high,FFT of Hermitian-symmetric signal. Cost: 5*n_out*ceil(log2(n_out)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,2.29,0.4795,2.0855,0.0335,np.fft.hfft(x),"x: (1048576,)","[1196410724, 1268822185, 1199738016]",381673308.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L443,baseline,5
fft.ihfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,,"10,000 FLOPs (1000 elements, C=10000)",low,Inverse FFT of Hermitian signal. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.43,0.0951,10.5152,0.2024,np.fft.ihfft(x),"x: (1048576,)","[222421386, 311846821, 224087139]",75719390.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/fft/_transforms.py#L462,baseline,5
